#Name;Emulator
ddonpach;arcade
ddonpach;fba
ddonpach;mame-advmame
ddonpach;mame-libretro
ddonpach;mame-mame4all
ddonpachj;arcade
ddonpachj;fba
ddonpachj;mame-advmame
ddonpachj;mame-libretro
ddonpachj;mame-mame4all
ddpdoj;arcade
ddpdoj;fba
ddpdoj;mame-advmame
ddpdoj;mame-libretro
ddpdoj;mame-mame4all
ddpdoja;arcade
ddpdoja;fba
ddpdoja;mame-advmame
ddpdoja;mame-libretro
ddpdoja;mame-mame4all
ddpdojb;arcade
ddpdojb;fba
ddpdojb;mame-advmame
ddpdojb;mame-libretro
ddpdojb;mame-mame4all
ddpdojblk;arcade
ddpdojblk;fba
ddpdojblk;mame-advmame
ddpdojblk;mame-libretro
ddpdojblk;mame-mame4all
deathsml;arcade
deathsml;fba
deathsml;mame-advmame
deathsml;mame-libretro
deathsml;mame-mame4all
dfeveron;arcade
dfeveron;fba
dfeveron;mame-advmame
dfeveron;mame-libretro
dfeveron;mame-mame4all
donpachi;arcade
donpachi;fba
donpachi;mame-advmame
donpachi;mame-libretro
donpachi;mame-mame4all
donpachihk;arcade
donpachihk;fba
donpachihk;mame-advmame
donpachihk;mame-libretro
donpachihk;mame-mame4all
donpachij;arcade
donpachij;fba
donpachij;mame-advmame
donpachij;mame-libretro
donpachij;mame-mame4all
donpachikr;arcade
donpachikr;fba
donpachikr;mame-advmame
donpachikr;mame-libretro
donpachikr;mame-mame4all
espgal2;arcade
espgal2;fba
espgal2;mame-advmame
espgal2;mame-libretro
espgal2;mame-mame4all
espgal;arcade
espgal;fba
espgal;mame-advmame
espgal;mame-libretro
espgal;mame-mame4all
esprade;arcade
esprade;fba
esprade;mame-advmame
esprade;mame-libretro
esprade;mame-mame4all
espradej;arcade
espradej;fba
espradej;mame-advmame
espradej;mame-libretro
espradej;mame-mame4all
espradejo;arcade
espradejo;fba
espradejo;mame-advmame
espradejo;mame-libretro
espradejo;mame-mame4all
feversos;arcade
feversos;fba
feversos;mame-advmame
feversos;mame-libretro
feversos;mame-mame4all
futari10;arcade
futari10;fba
futari10;mame-advmame
futari10;mame-libretro
futari10;mame-mame4all
futari15;arcade
futari15;fba
futari15;mame-advmame
futari15;mame-libretro
futari15;mame-mame4all
futari15a;arcade
futari15a;fba
futari15a;mame-advmame
futari15a;mame-libretro
futari15a;mame-mame4all
futariblk;arcade
futariblk;fba
futariblk;mame-advmame
futariblk;mame-libretro
futariblk;mame-mame4all
guwange;arcade
guwange;fba
guwange;mame-advmame
guwange;mame-libretro
guwange;mame-mame4all
guwanges;arcade
guwanges;fba
guwanges;mame-advmame
guwanges;mame-libretro
guwanges;mame-mame4all
ibara;arcade
ibara;fba
ibara;mame-advmame
ibara;mame-libretro
ibara;mame-mame4all
ibarablk;arcade
ibarablk;fba
ibarablk;mame-advmame
ibarablk;mame-libretro
ibarablk;mame-mame4all
ibarablka;arcade
ibarablka;fba
ibarablka;mame-advmame
ibarablka;mame-libretro
ibarablka;mame-mame4all
ket;arcade
ket;fba
ket;mame-advmame
ket;mame-libretro
ket;mame-mame4all
keta;arcade
keta;fba
keta;mame-advmame
keta;mame-libretro
keta;mame-mame4all
ketb;arcade
ketb;fba
ketb;mame-advmame
ketb;mame-libretro
ketb;mame-mame4all
mmmbanc;arcade
mmmbanc;fba
mmmbanc;mame-advmame
mmmbanc;mame-libretro
mmmbanc;mame-mame4all
mmpork;arcade
mmpork;fba
mmpork;mame-advmame
mmpork;mame-libretro
mmpork;mame-mame4all
mushisam;arcade
mushisam;fba
mushisam;mame-advmame
mushisam;mame-libretro
mushisam;mame-mame4all
mushisama;arcade
mushisama;fba
mushisama;mame-advmame
mushisama;mame-libretro
mushisama;mame-mame4all
mushitam;arcade
mushitam;fba
mushitam;mame-advmame
mushitam;mame-libretro
mushitam;mame-mame4all
pinkswts;arcade
pinkswts;fba
pinkswts;mame-advmame
pinkswts;mame-libretro
pinkswts;mame-mame4all
pinkswtsa;arcade
pinkswtsa;fba
pinkswtsa;mame-advmame
pinkswtsa;mame-libretro
pinkswtsa;mame-mame4all
pinkswtsb;arcade
pinkswtsb;fba
pinkswtsb;mame-advmame
pinkswtsb;mame-libretro
pinkswtsb;mame-mame4all
progear;arcade
progear;fba
progear;mame-advmame
progear;mame-libretro
progear;mame-mame4all
progeara;arcade
progeara;fba
progeara;mame-advmame
progeara;mame-libretro
progeara;mame-mame4all
progearj;arcade
progearj;fba
progearj;mame-advmame
progearj;mame-libretro
progearj;mame-mame4all
uopoko;arcade
uopoko;fba
uopoko;mame-advmame
uopoko;mame-libretro
uopoko;mame-mame4all
uopokoj;arcade
uopokoj;fba
uopokoj;mame-advmame
uopokoj;mame-libretro
uopokoj;mame-mame4all
